ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
418,花咲くいろは HOME SWEET HOME（アニメ映画）,79.8,1235,6994,4.1,4.0,4.3,4.0,3.9,4.1,アニメ映画,2013年3月30日,ピーエーワークス,伊藤かな恵、小見川千明、豊崎愛生、戸松遥、能登麻美子、梶裕貴、本田貴子、久保田民絵、浜田賢二、間島淳司、山口太郎、恒松あゆみ、諏訪部順一、チョー
419,蛍火の杜へ（アニメ映画）,79.8,1043,5033,4.0,4.2,4.1,4.0,3.9,4.1,アニメ映画,2011年9月17日,ブレインズ・ベース,内山昂輝、佐倉綾音
420,ゼロの使い魔F [エフ]（TVアニメ動画）,79.7,1361,8879,3.7,3.7,3.7,3.9,3.6,3.9,TVアニメ動画,2012年冬アニメ,,
421,ぐらんぶる（TVアニメ動画）,79.6,495,2350,3.7,3.7,3.7,3.8,3.6,3.9,TVアニメ動画,2018年夏アニメ,ゼロジー,内田雄馬、木村良平、安元洋貴、小西克幸、安済知佳、内田真礼、行成とあ、阿澄佳奈
422,デカダンス（TVアニメ動画）,79.7,483,1645,3.8,3.8,3.9,3.8,3.7,3.8,TVアニメ動画,2020年夏アニメ,NUT,小西克幸、楠木ともり、鳥海浩輔、喜多村英梨、柴田芽衣、青山吉能、竹内栄治
423,どろろ（TVアニメ動画）,79.7,10,55,4.3,4.4,4.1,4.4,4.3,4.4,TVアニメ動画,1969年春アニメ,,
424,FAIRY TAILフェアリーテイル（TVアニメ動画）,79.6,1117,6684,4.0,4.0,3.9,4.0,3.9,4.1,TVアニメ動画,2009年秋アニメ,A-1 Pictures / サテライト,柿原徹也、平野綾、釘宮理恵、中村悠一、大原さやか、辻親八、小野涼子、岸尾だいすけ、喜多村英梨、伊瀬茉莉也、小西克幸、浪川大輔、柴田秀勝
425,機動戦士Zガンダム [ゼータ]（TVアニメ動画）,79.6,783,3820,3.9,4.1,3.6,4.0,3.9,4.1,TVアニメ動画,1985年冬アニメ,サンライズ,飛田展男、池田秀一、松岡ミユキ、岡本麻弥、鈴置洋孝、井上和彦、島津冴子、藤代佳代子、郷里大輔、榊原良子、小杉十郎太
426,スパイダーマン：スパイダーバース（アニメ映画）,79.6,57,337,4.3,4.2,4.7,4.2,4.1,4.3,アニメ映画,2019年3月8日,www.spider-verse.jp/site/,《日本語吹替版》小野賢章、宮野真守、悠木碧、大塚明夫、吉野裕行、高橋李依、玄田哲章
427,侵略！イカ娘（TVアニメ動画）,79.5,2000,9690,3.7,3.5,3.7,3.8,3.6,4.0,TVアニメ動画,2010年秋アニメ,ディオメディア,金元寿子、藤村歩、田中理恵、大谷美貴、伊藤かな恵、中村悠一、榎あづさ、生天目仁美、小山力也、川澄綾子、菊池こころ
428,ハヤテのごとく！（TVアニメ動画）,79.5,1427,9254,3.8,3.7,3.6,4.0,3.6,4.0,TVアニメ動画,2007年春アニメ,Synergy SP,白石涼子、釘宮理恵、田中理恵、伊藤静、松来未祐、植田佳奈、井上麻里奈、中島沙樹、生天目仁美、矢作紗友里、高橋美佳子、小杉十郎太、三宅健太、若本規夫
429,3月のライオン（TVアニメ動画）,79.5,1305,4441,4.2,4.2,4.2,4.3,4.2,4.3,TVアニメ動画,2016年秋アニメ,シャフト,河西健吾、茅野愛衣、花澤香菜、久野美咲、岡本信彦、井上麻里奈、細谷佳正、三木眞一郎、杉田智和、木村昴、千葉繁、大川透、櫻井孝宏
430,バクマン。（TVアニメ動画）,79.4,1329,7574,3.9,4.1,3.9,3.8,3.7,3.9,TVアニメ動画,2010年秋アニメ,J.C.STAFF,阿部敦、日野聡、早見沙織、矢作紗友里、岡本信彦、諏訪部順一、志村知幸、川澄綾子、藤村歩、利根健太朗、野島裕史、川田紳司、堀内賢雄、浜田賢二
431,フルメタル・パニック！ The Second Raid（TVアニメ動画）,79.4,991,6130,3.9,4.0,3.9,3.9,3.7,4.0,TVアニメ動画,2005年夏アニメ,京都アニメーション,関智一、ゆきのさつき、ゆかな、三木眞一郎、根谷美智子、小山力也、大塚明夫、西村知道、田中正彦、浪川大輔、大塚芳忠、篠原恵美、沢城みゆき、木村郁絵、能登麻美子
432,ARIA The NATURAL[アリアザナチュラル]（TVアニメ動画）,79.4,895,4797,4.2,4.2,4.0,4.1,4.3,4.3,TVアニメ動画,2006年春アニメ,ハルフィルムメーカー,葉月絵理乃、斎藤千和、広橋涼、大原さやか、西村ちなみ、皆川純子、川上とも子、水橋かおり
433,ドラゴンボール（TVアニメ動画）,79.4,770,4688,3.9,4.0,3.6,4.0,3.9,4.1,TVアニメ動画,1986年冬アニメ,東映アニメーション,野沢雅子、鶴ひろみ、古谷徹、龍田直樹、渡辺菜生子、千葉繁、玄田哲章、山田栄子、宮内幸平、鈴置洋孝、田中真弓、青野武、郷里大輔、八奈見乗児
434,ナイツ＆マジック（TVアニメ動画）,79.4,702,3628,3.6,3.6,3.8,3.7,3.5,3.6,TVアニメ動画,2017年夏アニメ,エイトビット,高橋李依、大橋彩香、菅原慎介、内匠靖明、興津和幸、伊藤静
435,異世界食堂（TVアニメ動画）,79.4,723,3341,3.7,3.6,3.7,3.7,3.6,3.7,TVアニメ動画,2017年夏アニメ,SILVER LINK.,諏訪部順一、上坂すみれ、大西沙織、安野希世乃、伊藤静、清川元夢、大塚芳忠、立木文彦、杉田智和
436,呪術廻戦（TVアニメ動画）,79.4,485,1899,3.8,3.7,4.1,3.9,3.8,3.7,TVアニメ動画,2020年秋アニメ,MAPPA,榎木淳弥、内田雄馬、瀬戸麻沙美、小松未可子、内山昂輝、関智一、津田健次郎、中村悠一、諏訪部順一
437,劇場版 のんのんびより ばけーしょん（アニメ映画）,79.4,333,1511,4.1,4.0,4.2,4.1,3.9,4.2,アニメ映画,2018年8月25日,SILVER LINK.,小岩井ことり、村川梨衣、佐倉綾音、阿澄佳奈、名塚佳織、佐藤利奈、福圓美里、新谷良子
