ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
195,一週間フレンズ。（TVアニメ動画）,85.5,2545,13813,3.9,3.9,3.8,3.8,3.9,3.9,TVアニメ動画,2014年春アニメ,ブレインズ・ベース,山谷祥生、雨宮天、細谷佳正、大久保瑠美、中原麻衣、間島淳司、浅沼晋太郎
196,織田信奈の野望（TVアニメ動画）,85.5,2558,13268,3.9,3.7,4.0,3.9,3.6,4.0,TVアニメ動画,2012年夏アニメ,Studio五組 / マッドハウス,伊藤かな恵、江口拓也、福圓美里、生天目仁美、松嵜麗、金田朋子、北方奈月、矢作紗友里、小倉唯、能登麻美子、三森すずこ、麦人、櫻井孝宏、加藤英美里、梁田清之、諸星すみれ、大久保瑠美、佐藤利奈
197,ワンパンマン（TVアニメ動画）,85.5,1958,10910,4.0,3.9,4.2,3.9,3.9,4.1,TVアニメ動画,2015年秋アニメ,マッドハウス,古川慎、石川界人、梶裕貴、悠木碧、山路和弘、津田健次郎、高山みなみ、玄田哲章、安元洋貴、櫻井孝宏、上田燿司、浪川大輔、日野聡、うえだゆうじ、鳥海浩輔、小西克幸、羽多野渉、小野坂昌也、宮野真守、早見沙織、中村悠一
198,神のみぞ知るセカイ 女神篇（TVアニメ動画）,85.5,1697,10161,4.0,4.0,3.9,4.1,3.9,4.1,TVアニメ動画,2013年夏アニメ,マングローブ,下野紘、伊藤かな恵、早見沙織、名塚佳織、東山奈央、竹達彩奈、阿澄佳奈、花澤香菜、井口裕香、高垣彩陽、戸松遥
199,ヨルムンガンド PERFECT ORDER（TVアニメ動画）,85.4,1743,9502,4.0,4.1,3.9,4.0,4.0,4.1,TVアニメ動画,2012年秋アニメ,WHITE FOX,伊藤静、田村睦心、石塚運昇、大原さやか、乃村健次、小西克幸、四宮豪、勝沼紀義、羽多野渉、箭内仁、豊口めぐみ、松風雅也、冬馬由美、奈良徹、小清水亜美、加藤沙織、磯部勉、久川綾
200,紅の豚（アニメ映画）,85.4,1172,7768,4.0,4.1,4.1,3.9,4.0,4.1,アニメ映画,1992年7月18日,スタジオジブリ,森山周一郎、岡村明美、加藤登紀子、大塚明夫
201,ガヴリールドロップアウト（TVアニメ動画）,85.4,1090,5186,3.8,3.6,3.8,3.8,3.7,4.0,TVアニメ動画,2017年冬アニメ,動画工房,富田美憂、大西沙織、大空直美、花澤香菜、水瀬いのり、井澤美香子、渕上舞、梅津秀行
202,亜人ちゃんは語りたい（TVアニメ動画）,85.4,1036,5022,3.8,3.8,3.7,3.8,3.6,3.9,TVアニメ動画,2017年冬アニメ,A-1 Pictures,諏訪部順一、本渡楓、篠田みなみ、夏川椎菜、日笠陽子、Lynn
203,中二病でも恋がしたい！戀（REN）（TVアニメ動画）,85.3,2596,15126,3.8,3.6,4.1,3.9,3.6,4.0,TVアニメ動画,2014年冬アニメ,京都アニメーション,福山潤、内田真礼、赤﨑千夏、浅倉杏美、上坂すみれ、長妻樹里、天野由梨、福原香織、設楽麻美、保志総一朗、井上喜久子、仙台エリ
204,GHOST IN THE SHELL 攻殻機動隊-ゴーストインザシェル（アニメ映画）,85.3,1035,6208,4.2,4.2,4.2,4.1,4.1,4.1,アニメ映画,1995年11月18日,プロダクションI.G,田中敦子、大塚明夫、山寺宏一、仲野裕、大木民夫、玄田哲章、生木政壽、家弓家正
205,終末なにしてますか？ 忙しいですか？ 救ってもらっていいですか？（TVアニメ動画）,85.3,1147,5701,3.7,3.7,3.6,3.7,3.8,3.7,TVアニメ動画,2017年春アニメ,サテライト / C2C,新井良平、田所あずさ、Machico、上原あかり、荒浪和沙、水瀬いのり、水間友美、久保ユリカ、石見舞菜香、木野日菜、小日向茜、井上喜久子、千葉繁、小杉十郎太、佐藤聡美、井上ほの花、佐藤利奈、麦人
206,からかい上手の高木さん（TVアニメ動画）,85.4,990,4388,3.8,3.7,3.7,3.9,3.8,3.9,TVアニメ動画,2018年冬アニメ,シンエイ動画,高橋李依、梶裕貴、小原好美、M・A・O、小倉唯、内田雄馬、小岩井ことり、岡本信彦、落合福嗣、田所陽向
207,進撃の巨人 Season3 Part.2（TVアニメ動画）,85.3,570,2670,4.1,4.2,4.2,4.1,3.9,4.1,TVアニメ動画,2019年春アニメ,WIT STUDIO,梶裕貴、石川由依、井上麻里奈、下野紘、小林ゆう、三上枝織、谷山紀章、細谷佳正、橋詰知久、朴璐美、小野大輔、神谷浩史、子安武人
208,生徒会役員共（TVアニメ動画）,85.2,3801,19490,3.7,3.7,3.6,3.9,3.5,4.0,TVアニメ動画,2010年夏アニメ,GoHands,浅沼晋太郎、日笠陽子、佐藤聡美、矢作紗友里、下田麻美、小林ゆう、小見川千明、新井里美、加藤英美里、田村睦心
209,Charlotte [シャーロット]（TVアニメ動画）,85.2,3448,15060,3.9,3.7,4.1,3.9,3.9,3.9,TVアニメ動画,2015年夏アニメ,ピーエーワークス,内山昂輝、佐倉綾音、水島大宙、内田真礼、麻倉もも
210,僕らはみんな河合荘（TVアニメ動画）,85.2,2333,13163,3.9,3.8,3.9,3.9,3.8,4.1,TVアニメ動画,2014年春アニメ,ブレインズ・ベース,井口祐一、花澤香菜、四宮豪、佐藤利奈、金元寿子、小林沙苗
211,会長はメイド様！（TVアニメ動画）,85.2,2416,12405,3.9,3.9,3.8,3.9,3.6,4.1,TVアニメ動画,2010年春アニメ,J.C.STAFF,藤村歩、岡本信彦、椎橋和義、花澤香菜、小林ゆう、市来光弘、寺島拓篤、細谷佳正、鈴村健一、五十嵐裕美、豊崎愛生、植田佳奈、阿澄佳奈、伊瀬茉莉也、鳥海浩輔、阿部敦
212,NEW GAME！（TVアニメ動画）,85.3,1455,7111,3.9,3.8,4.0,3.9,3.8,4.1,TVアニメ動画,2016年夏アニメ,動画工房,高田憂希、日笠陽子、茅野愛衣、山口愛、戸田めぐみ、竹尾歩美、朝日奈丸佳、森永千才、喜多村英梨
213,ヴァイオレット・エヴァーガーデン 外伝 ‐永遠と自動手記人形‐（アニメ映画）,85.2,386,1879,4.3,4.3,4.6,4.3,4.2,4.3,アニメ映画,2019年9月6日,京都アニメーション,石川由依、寿美菜子、悠木碧、子安武人、内山昂輝、遠藤綾、茅原実里、戸松遥
214,魔法科高校の劣等生（TVアニメ動画）,85.1,4449,22789,3.8,3.7,3.9,3.9,3.8,3.8,TVアニメ動画,2014年春アニメ,マッドハウス,中村悠一、早見沙織、内山夕実、寺島拓篤、佐藤聡美、田丸篤志、雨宮天、巽悠衣子、井上麻里奈、木村良平、諏訪部順一、花澤香菜、中原麻衣、小笠原早紀、戸松遥、杉田智和、松岡禎丞、村瀬歩
215,となりの怪物くん（TVアニメ動画）,85.1,2488,13268,3.8,3.8,3.8,3.8,3.7,4.0,TVアニメ動画,2012年秋アニメ,ブレインズ・ベース,戸松遥、鈴木達央、種﨑敦美、逢坂良太、寺島拓篤、花澤香菜、中村悠一、樋口智透、阿部敦、小野友樹、ささきのぞみ
216,傷物語 鉄血篇（アニメ映画）,85.1,1633,12628,3.7,3.7,3.8,3.8,3.6,3.8,アニメ映画,2016年1月8日,シャフト,神谷浩史、坂本真綾、堀江由衣、櫻井孝宏
217,オーバーロード[OVERLORD]（TVアニメ動画）,85.1,2242,11905,3.9,4.0,3.8,3.9,3.8,4.0,TVアニメ動画,2015年夏アニメ,マッドハウス,日野聡、原由実、上坂すみれ、加藤英美里、内山夕実、加藤将之、三宅健太、千葉繁、沼倉愛美、白熊寛嗣、子安武人、M・A・O、五十嵐裕美、渡辺明乃、村瀬歩、悠木碧、稲葉実
218,ようこそ実力至上主義の教室へ（TVアニメ動画）,85.1,1216,5937,3.6,3.7,3.6,3.6,3.5,3.7,TVアニメ動画,2017年夏アニメ,ラルケ,千葉翔也、鬼頭明里、久保ユリカ、M・A・O、竹達彩奈、逢坂良太、岩中睦樹、日高里菜、日野聡、東山奈央、若山晃久、小松未可子、梅原裕一郎、小原好美、佐藤利奈、金元寿子、岩澤俊樹、竹内栄治、阿部大樹、郷田翼、水中雅章
219,学園黙示録 HIGHSCHOOL OF THE DEAD（TVアニメ動画）,85.0,3138,16157,3.7,3.7,3.8,3.7,3.6,3.8,TVアニメ動画,2010年夏アニメ,マッドハウス,諏訪部順一、井上麻里奈、沢城みゆき、喜多村英梨、檜山修之、福井裕佳梨、宮野真守、竹達彩奈、谷山紀章、竹内順子
220,銀魂’（TVアニメ動画）,85.0,1500,9315,4.2,4.2,4.0,4.3,4.0,4.4,TVアニメ動画,2011年春アニメ,サンライズ,杉田智和、阪口大助、釘宮理恵、高橋美佳子、ゆきのさつき、くじら、杉本ゆう、石田彰、子安武人、千葉進歩、中井和哉、鈴村健一、太田哲治、立木文彦、速水奨、日野聡、大塚芳忠、折笠富美子、山崎たくみ、三木眞一郎、小林ゆう、藤原啓治、坂口候一、南央美、そのへんにいたオッさん
221,色づく世界の明日から（TVアニメ動画）,85.0,961,4084,3.8,3.7,4.2,3.8,3.9,3.7,TVアニメ動画,2018年秋アニメ,ピーエーワークス,石原夏織、本渡楓、千葉翔也、市ノ瀬加那、東山奈央、前田誠ニ、村瀬歩
222,電波女と青春男（TVアニメ動画）,84.9,4274,20686,3.8,3.4,4.0,3.7,3.6,4.0,TVアニメ動画,2011年春アニメ,シャフト,大亀あすか、入野自由、加藤英美里、渕上舞、野中藍
223,Fate／stay night [Unlimited Blade Works]（TVアニメ動画）,84.9,2134,11754,4.2,4.1,4.4,4.1,4.1,4.2,TVアニメ動画,2014年秋アニメ,ufotable,杉山紀彰、植田佳奈、川澄綾子、諏訪部順一、下屋則子、門脇舞以、てらそままさき、神奈延年、田中敦子、三木眞一郎、浅川悠、伊藤美紀、神谷浩史、真殿光昭、中田譲治、小山力也、関智一
224,監獄学園 - プリズン スクール -（TVアニメ動画）,84.9,2104,11004,4.0,4.0,4.0,4.1,3.7,4.2,TVアニメ動画,2015年夏アニメ,J.C.STAFF,神谷浩史、小西克幸、鈴村健一、浪川大輔、興津和幸、大原さやか、伊藤静、花澤香菜、橋本ちなみ、大地葉、藤原啓治
225,ハイキュー！！（TVアニメ動画）,84.9,1646,8746,4.0,4.2,4.0,4.0,3.9,4.1,TVアニメ動画,2014年春アニメ,プロダクションI.G,村瀬歩、石川界人、日野聡、入野自由、林勇、細谷佳正、岡本信彦、内山昂輝、斉藤壮馬、増田俊樹、名塚佳織、神谷浩史、田中一成、浪川大輔、吉野裕行、中村悠一、梶裕貴、立花慎之介
226,C - The Money of Soul and Possibility Control（TVアニメ動画）,84.8,3551,18859,3.7,3.8,3.7,3.6,3.6,3.7,TVアニメ動画,2011年春アニメ,タツノコプロ,内山昂輝、戸松遥、櫻井孝宏、三ツ矢雄二、細見大輔、後藤沙緒里、牧野由依、浅野まゆみ
227,まよチキ！（TVアニメ動画）,84.8,3247,18206,3.7,3.6,3.8,3.8,3.5,3.9,TVアニメ動画,2011年夏アニメ,feel.,井口裕香、日野聡、喜多村英梨、花澤香菜、伊瀬茉莉也、阿澄佳奈、藤原啓治、茅原実里、沢城みゆき、最上嗣生
228,変態王子と笑わない猫。（TVアニメ動画）,84.8,3150,17837,3.7,3.5,3.8,3.8,3.7,3.9,TVアニメ動画,2013年春アニメ,J.C.STAFF,梶裕貴、小倉唯、石原夏織、田村ゆかり、愛美
229,機動戦士ガンダム（TVアニメ動画）,84.8,1274,5870,3.9,4.2,3.3,4.1,3.8,4.2,TVアニメ動画,1979年春アニメ,サンライズ,古谷徹、池田秀一、鈴置洋孝、鵜飼るみ子、白石冬美、井上瑤、古川登志夫、鈴木清信、戸田恵子、潘恵子、永井一郎
230,プリンセス・プリンシパル（TVアニメ動画）,84.8,875,3440,4.0,4.0,4.1,3.9,4.0,4.0,TVアニメ動画,2017年夏アニメ,Studio 3Hz / アクタス,今村彩夏、関根明良、大地葉、影山灯、古木のぞみ、菅生隆之、沢城みゆき、山崎たくみ、土師孝也、飯田友子
231,ヱヴァンゲリヲン新劇場版：破（アニメ映画）,84.7,2071,12076,4.2,4.2,4.4,4.1,4.1,4.2,アニメ映画,2009年6月27日,スタジオカラー,緒方恵美、林原めぐみ、宮村優子、坂本真綾、三石琴乃、山口由里子、山寺宏一、石田彰、立木文彦、清川元夢、長沢美樹、子安武人、優希比呂、関智一、岩永哲哉、岩男潤子、麦人
232,黒子のバスケ（TVアニメ動画）,84.7,2038,10733,4.0,4.0,3.9,3.9,3.8,4.1,TVアニメ動画,2012年春アニメ,プロダクションI.G,小野賢章、小野友樹、木村良平、小野大輔、斎藤千和、細谷佳正、野島裕史、江口拓也、保志総一朗、鈴木達央
233,オーバーロード II（TVアニメ動画）,84.7,975,5005,3.8,3.7,3.7,3.8,3.7,3.9,TVアニメ動画,2018年冬アニメ,マッドハウス,日野聡、原由実、上坂すみれ、加藤英美里、内山夕実、加藤将之、三宅健太、千葉繁、沼倉愛美、東地宏樹、楠見尚己、雨宮天、石井康嗣、安野希世乃、逢坂良太
234,IS [インフィニットストラトス]（TVアニメ動画）,84.6,6552,28371,3.8,3.4,3.9,3.9,3.6,4.0,TVアニメ動画,2011年冬アニメ,エイトビット,内山昂輝、日笠陽子、ゆかな、下田麻美、花澤香菜、井上麻里奈、豊口めぐみ、下屋則子、田村ゆかり、小幡記子、保村真
235,ストライク・ザ・ブラッド（TVアニメ動画）,84.6,2706,16415,3.8,3.7,3.8,3.8,3.7,3.9,TVアニメ動画,2013年秋アニメ,SILVER LINK. / CONNECT,細谷佳正、種田梨沙、瀬戸麻沙美、日高里菜、金元寿子、逢坂良太、石原夏織、三宅健太、井口裕香
236,Fate／stay night[フェイト／ステイナイト][スタジオディーン版]（TVアニメ動画）,84.6,3044,15297,3.8,3.9,3.6,3.8,3.7,4.0,TVアニメ動画,2006年冬アニメ,スタジオディーン,杉山紀彰、川澄綾子、植田佳奈、下屋則子、伊藤美紀、諏訪部順一、中田譲治、門脇舞以、浅川悠、神奈延年、田中敦子、神谷浩史、小山力也、真殿光昭、中田和宏、西前忠久、水沢史絵、三木眞一郎、関智一
237,Kanon カノン[京都アニメーション版]（TVアニメ動画）,84.6,1784,9662,3.9,4.0,3.8,3.9,3.9,3.9,TVアニメ動画,2006年秋アニメ,京都アニメーション,杉田智和、堀江由衣、國府田マリ子、田村ゆかり、佐藤朱、飯塚雅弓
238,ARIA The ORIGINATION[アリアジオリジネーション]（TVアニメ動画）,84.6,1090,5999,4.3,4.4,4.2,4.2,4.4,4.4,TVアニメ動画,2008年冬アニメ,ハルフィルムメーカー,葉月絵理乃、斎藤千和、広橋涼、大原さやか、西村ちなみ、皆川純子、川上とも子、水橋かおり
239,これはゾンビですか？（TVアニメ動画）,84.5,3042,15744,3.7,3.5,3.7,3.7,3.6,3.9,TVアニメ動画,2011年冬アニメ,スタジオディーン,間島淳司、野水伊織、月宮みどり、日笠陽子、金元寿子、吉野裕行、清水愛、下屋則子、山口理恵、美名、喜多丘千陽
240,フルメタル・パニック？ ふもっふ（TVアニメ動画）,84.5,1385,7619,4.0,4.0,3.9,4.0,3.7,4.2,TVアニメ動画,2003年夏アニメ,京都アニメーション,関智一、ゆきのさつき、木村郁絵、森川智之、田中理恵、金田朋子、福山潤、吉田小百合、能登麻美子、夏樹リオ、ゆかな、根谷美智子、三木眞一郎、大塚明夫、西村知道、平松晶子、青野武、菊池志穂、浅野まゆみ、浜田真瑞、池水通洋、宮本充
241,転生したらスライムだった件（TVアニメ動画）,84.5,1161,5326,3.5,3.5,3.6,3.5,3.4,3.6,TVアニメ動画,2018年秋アニメ,エイトビット,岡咲美保、豊口めぐみ、前野智昭、花守ゆみり、古川慎、千本木彩花、M・A・O、江口拓也、大塚芳忠、山本兼平、泊明日菜、小林親弘、田中理恵、日高里菜
242,ハイスクールD×D（TVアニメ動画）,84.4,2629,14901,3.7,3.7,3.8,3.8,3.6,3.9,TVアニメ動画,2012年冬アニメ,ティー・エヌ・ケー,梶裕貴、日笠陽子、浅倉杏美、伊藤静、竹達彩奈、野島健児
243,人類は衰退しました（TVアニメ動画）,84.4,2263,11285,3.8,3.8,3.7,3.9,3.7,4.0,TVアニメ動画,2012年夏アニメ,AIC,中原麻衣、石塚運昇
244,ブラック・ブレット（TVアニメ動画）,84.3,2503,14964,3.8,3.7,3.8,3.8,3.8,3.9,TVアニメ動画,2014年春アニメ,キネマシトラス,梶裕貴、日高里菜、堀江由衣、黒沢ともよ、小山力也、悠木碧、甲斐田裕子、豊崎愛生
245,ノラガミ（TVアニメ動画）,84.3,2380,13792,3.9,3.8,3.9,3.9,3.8,3.9,TVアニメ動画,2014年冬アニメ,ボンズ,神谷浩史、内田真礼、梶裕貴、豊崎愛生、小野大輔、沢城みゆき、福山潤、今井麻美、小松未可子、大川透、釘宮理恵、井上和彦
246,政宗くんのリベンジ（TVアニメ動画）,84.3,1148,6197,3.5,3.4,3.6,3.6,3.4,3.6,TVアニメ動画,2017年冬アニメ,SILVER LINK.,花江夏樹、大橋彩香、水瀬いのり、三森すずこ、田所あずさ、早見沙織、小倉唯、大亀あすか、伊瀬茉莉也、伊藤かな恵、佐藤聡美
247,俺の彼女と幼なじみが修羅場すぎる（TVアニメ動画）,84.2,3422,18514,3.7,3.5,3.7,3.8,3.6,3.8,TVアニメ動画,2013年冬アニメ,A-1 Pictures,逢坂良太、赤﨑千夏、田村ゆかり、金元寿子、茅野愛衣、東山奈央、種田梨沙、名塚佳織
248,ゆるゆり（TVアニメ動画）,84.2,2422,11702,3.8,3.6,3.8,3.8,3.8,4.1,TVアニメ動画,2011年夏アニメ,動画工房,三上枝織、大坪由佳、津田美波、大久保瑠美、藤田咲、豊崎愛生、加藤英美里、三森すずこ、竹達彩奈
249,ご注文はうさぎですか？（TVアニメ動画）,84.2,2304,11300,3.9,3.5,4.0,4.0,3.8,4.1,TVアニメ動画,2014年春アニメ,WHITE FOX,佐倉綾音、水瀬いのり、種田梨沙、佐藤聡美、内田真礼、徳井青空、村川梨衣、早見沙織、清川元夢、速水奨
250,電脳コイル（TVアニメ動画）,84.2,1896,10787,3.9,4.2,3.9,3.7,3.8,3.8,TVアニメ動画,2007年春アニメ,マッドハウス,折笠富美子、桑島法子、矢島晶子、小島幸子、斉藤梨絵、鈴木れい子、野田順子、小林由美子、梅田貴公美、山口眞弓、沼田祐介
251,言の葉の庭（アニメ映画）,84.2,1901,9048,4.1,3.9,4.6,4.0,4.0,3.8,アニメ映画,2013年5月31日,コミックス・ウェーブ・フィルム,入野自由、花澤香菜
252,サムライチャンプルー（TVアニメ動画）,84.2,1600,8604,4.0,3.9,4.0,3.9,4.1,4.1,TVアニメ動画,2004年春アニメ,マングローブ,中井和哉、川澄綾子、佐藤銀平
253,瀬戸の花嫁（TVアニメ動画）,84.1,2358,13442,3.8,3.8,3.6,3.8,3.6,4.0,TVアニメ動画,2007年春アニメ,AIC / GONZO,桃井はるこ、水島大宙、野川さくら、三宅健太、鍋井まき子、村瀬克輝、桑谷夏子、子安武人、伊丸岡篤、並木のり子、松島栄利子、森永理科、力丸乃りこ、矢部雅史、小野大輔、山﨑バニラ
254,未確認で進行形（TVアニメ動画）,84.1,2134,11284,3.9,3.7,3.9,3.9,3.8,4.1,TVアニメ動画,2014年冬アニメ,動画工房,照井春佳、松井恵理子、吉田有里、羽多野渉、愛美、佐倉綾音、藤田咲、角元明日香
255,おおかみこどもの雨と雪（アニメ映画）,84.1,1760,9567,3.9,4.1,4.2,3.7,3.8,3.9,アニメ映画,2012年7月1日,スタジオ地図,宮﨑あおい、大沢たかお、黒木華、西井幸人、大野百花、加部亜門、林原めぐみ、中村正、大木民夫、片岡富枝、平岡拓真、染谷将太、谷村美月、麻生久美子、菅原文太
256,劇場版 響け！ユーフォニアム ～誓いのフィナーレ～（アニメ映画）,84.1,281,1365,4.3,4.1,4.5,4.3,4.4,4.3,アニメ映画,2019年4月19日,京都アニメーション,黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、石谷春貴、藤村鼓乃美、山岡ゆり、津田健次郎、小堀幸、雨宮天、七瀬彩夏、久野美咲、土屋神葉、寿美菜子、櫻井孝宏
257,ダンジョンに出会いを求めるのは間違っているだろうか（TVアニメ動画）,84.0,2658,14729,3.8,3.7,3.9,3.9,3.6,3.9,TVアニメ動画,2015年春アニメ,J.C.STAFF,松岡禎丞、水瀬いのり、大西沙織、内田真礼、戸松遥、石上静香、日笠陽子、久保ユリカ、岡本信彦、早見沙織
258,たまこまーけっと（TVアニメ動画）,84.0,2554,11954,3.8,3.5,4.1,3.7,3.6,3.8,TVアニメ動画,2013年冬アニメ,京都アニメーション,洲崎綾、金子有希、長妻樹里、山崎たくみ、日高里菜、田丸篤志、山下百合恵、藤原啓治、西村知道、立木文彦、ゆきのさつき、小野大輔、辻谷耕史、津久井教生、渡辺久美子、家中宏、成田剣、日笠陽子、川原慶久、野坂尚也、下野紘、山岡ゆり
259,プラスティック・メモリーズ（TVアニメ動画）,84.0,2218,10473,3.9,3.8,3.9,3.9,3.8,3.9,TVアニメ動画,2015年春アニメ,動画工房,内匠靖明、雨宮天、赤﨑千夏、矢作紗友里、豊口めぐみ、日野聡、上坂すみれ、飛田展男、拝真之介、津田健次郎
260,ソードアート･オンライン　アリシゼーション（TVアニメ動画）,84.0,904,4517,3.8,3.6,3.9,3.8,3.8,3.7,TVアニメ動画,2018年秋アニメ,A-1 Pictures,松岡禎丞、戸松遥、茅野愛衣、島﨑信長、前田佳織里、近藤玲奈、石原夏織、小林沙苗、森川智之、岩瀬周平、木島隆一、潘めぐみ、村田太志
261,生徒会の一存（TVアニメ動画）,83.9,2945,16083,3.6,3.5,3.6,3.6,3.5,3.9,TVアニメ動画,2009年秋アニメ,スタジオディーン,本多真梨子、斉藤佑圭、富樫美鈴、堀中優希、近藤隆
262,リトルバスターズ！（TVアニメ動画）,83.9,2342,12222,3.8,3.7,3.8,3.7,3.9,3.9,TVアニメ動画,2012年秋アニメ,J.C.STAFF,堀江由衣、たみやすともえ、緑川光、神奈延年、織田優成、やなせなつみ、すずきけいこ、若林直美、田中涼子、巽悠衣子、徳井青空
263,ログ・ホライズン（TVアニメ動画）,83.9,1920,11580,3.8,4.1,3.7,3.8,3.7,3.9,TVアニメ動画,2013年秋アニメ,サテライト,寺島拓篤、加藤英美里、前野智昭、中田譲治、山下大輝、田村奈央、柿原徹也、松井恵理子、原由実、高垣彩陽、久野美咲、逢坂良太、梶川翔平、雨宮天、佐藤奏美、村田太志、高橋未奈美、櫻井孝宏、下野紘、後藤ヒロキ、岡本信彦、日野聡、西田雅一、中村悠一、てらそままさき、白熊寛嗣、チョー、井上麻里奈
264,フルメタル・パニック！（TVアニメ動画）,83.9,1590,9410,3.8,3.9,3.7,3.9,3.7,4.0,TVアニメ動画,2002年冬アニメ,GONZO,関智一、ゆきのさつき、三木眞一郎、根谷美智子、ゆかな、木村郁絵、能登麻美子、大塚明夫、西村知道、田中正彦
265,ef - a tale of melodies.（TVアニメ動画）,83.9,1536,8179,4.1,4.2,4.1,3.9,4.2,4.0,TVアニメ動画,2008年秋アニメ,シャフト,中島裕美子、遠近孝一、後藤麻衣、浜田賢二、伊藤静、古澤徹
266,東京レイヴンズ（TVアニメ動画）,83.8,2117,13010,3.9,3.9,3.8,3.9,3.8,3.9,TVアニメ動画,2013年秋アニメ,エイトビット,石川界人、花澤香菜、木村良平、金元寿子、佐倉綾音、豊崎愛生、喜多村英梨、下野紘、遊佐浩二
267,ゼロの使い魔 双月の騎士（TVアニメ動画）,83.8,2019,12427,3.8,3.9,3.7,4.0,3.6,4.0,TVアニメ動画,2007年夏アニメ,J.C.STAFF,釘宮理恵、日野聡、堀江由衣、川澄綾子、井上喜久子、山川琴美、根谷美智子、石松千恵美、平川大輔、勝生真沙子、櫻井孝宏、いのくちゆか、井上奈々子、高橋美佳子
268,Re：CREATORS（レクリエイターズ）（TVアニメ動画）,83.8,977,4823,3.7,3.6,3.9,3.7,3.8,3.7,TVアニメ動画,2017年春アニメ,TROYCA,山下大輝、小松未可子、水瀬いのり、日笠陽子、坂本真綾、雨宮天、村川梨衣、鈴村健一、豊崎愛生、小西克幸、金元寿子、杉崎亮、柳田淳一、濱野大輝、寿美菜子、恒松あゆみ
269,ゴブリンスレイヤー（TVアニメ動画）,83.8,924,4353,3.7,3.7,3.7,3.7,3.5,3.7,TVアニメ動画,2018年秋アニメ,WHITE FOX,梅原裕一郎、小倉唯、東山奈央、井口裕香、内田真礼、中村悠一、杉田智和、日笠陽子、松岡禎丞
270,ラブライブ！ School idol project(第2期)（TVアニメ動画）,83.7,1880,9172,4.0,3.8,4.0,3.9,4.2,4.1,TVアニメ動画,2014年春アニメ,サンライズ,新田恵海、南條愛乃、内田彩、三森すずこ、飯田里穂、Pile、楠田亜衣奈、久保ユリカ、徳井青空
271,桜蘭高校ホスト部（TVアニメ動画）,83.7,1714,8960,3.9,4.0,3.8,4.0,3.7,4.2,TVアニメ動画,2006年春アニメ,ボンズ,坂本真綾、宮野真守、松風雅也、鈴村健一、織田圭祐、齋藤彩夏、桐井大介
272,五等分の花嫁（TVアニメ動画）,83.7,897,4153,3.7,3.6,3.3,4.0,3.5,3.9,TVアニメ動画,2019年冬アニメ,手塚プロダクション,松岡禎丞、花澤香菜、竹達彩奈、伊藤美来、佐倉綾音、水瀬いのり
273,終物語（まよいヘルひたぎランデブーおうぎダーク）（TVアニメ動画）,83.8,608,3885,4.0,4.0,4.0,4.1,3.9,4.1,TVアニメ動画,2017年夏アニメ,,
274,あの夏で待ってる（TVアニメ動画）,83.6,2669,13173,3.7,3.6,3.8,3.7,3.7,3.7,TVアニメ動画,2012年冬アニメ,J.C.STAFF,戸松遥、島﨑信長、石原夏織、荻原秀樹、田村ゆかり、阿澄佳奈、日高里菜
275,はたらく細胞（TVアニメ動画）,83.6,885,4238,3.7,3.6,3.6,3.8,3.6,3.8,TVアニメ動画,2018年夏アニメ,デイヴィッドプロダクション,花澤香菜、前野智昭、小野大輔、井上喜久子、長縄まりあ、櫻井孝宏、早見沙織、岡本信彦、M・A・O、千葉翔也、能登麻美子
276,青春ブタ野郎はゆめみる少女の夢を見ない（アニメ映画）,83.6,359,2075,4.1,4.2,4.0,4.1,3.9,4.2,アニメ映画,2019年6月15日,CloverWorks,石川界人、瀬戸麻沙美、水瀬いのり、東山奈央、種﨑敦美、内田真礼、久保ユリカ
277,緋弾のアリア（TVアニメ動画）,83.5,4859,23627,3.7,3.5,3.7,3.9,3.5,3.8,TVアニメ動画,2011年春アニメ,J.C.STAFF,間島淳司、釘宮理恵、高橋美佳子、伊瀬茉莉也、石原夏織、近藤孝行、江口拓也、野島健児、中原麻衣
278,PSYCHO-PASS サイコパス2（TVアニメ動画）,83.4,2337,13138,3.8,3.8,3.9,3.9,3.9,3.7,TVアニメ動画,2014年秋アニメ,タツノコプロ,花澤香菜、野島健児、佐倉綾音、藤原啓治、櫻井孝宏、伊藤静、沢城みゆき、浅野真澄、井上麻里奈、木村良平
279,デジモンアドベンチャー（TVアニメ動画）,83.4,969,5573,4.1,4.3,3.7,3.9,4.4,4.2,TVアニメ動画,1999年冬アニメ,東映アニメーション,藤田淑子、風間勇刀、水谷優子、天神有海、前田愛、菊池正美、小西寛子、荒木香恵、平田広明、坂本千夏、山口眞弓、重松花鳥、櫻井孝宏、山田きのこ、竹内順子、松本美和、徳光由禾
280,NEW GAME！！（TVアニメ動画）,83.4,856,4286,3.9,3.9,4.0,3.9,3.8,4.0,TVアニメ動画,2017年夏アニメ,動画工房,高田憂希、日笠陽子、茅野愛衣、山口愛、戸田めぐみ、竹尾歩美、朝日奈丸佳、森永千才、喜多村英梨、大和田仁美、石見舞菜香、名塚佳織、鈴木亜理沙
